Daty,ln_rates_EA19,ln_rates_JPN,ln_rates_POL,ln_rates_USA,unemp_EA19,unemp_JPN,unemp_OECD,unemp_POL,unemp_USA,ln_gdp_growth_EA19,ln_gdp_growth_JPN,ln_gdp_growth_OECD,ln_gdp_growth_POL,ln_gdp_growth_USA,ln_growth_AP,ln_growth_fw_AP,ln_growth_fm_AP,ln_growth_OP,ln_growth_fw_OP,ln_growth_fm_OP,ln_growth_ARW,ln_growth_fw_ARW,ln_growth_fm_ARW,ln_growth_ORW,ln_growth_fw_ORW,ln_growth_fm_ORW,ln_growth_ARR,ln_growth_fw_ARR,ln_growth_fm_ARR,ln_growth_ORR,ln_growth_fw_ORR,ln_growth_fm_ORR,ln_growth_G,ln_growth_fw_G,ln_growth_fm_G,ln_growth_wig20,ln_growth_fw_wig20,ln_growth_fm_wig20,ln_growth_nyse,ln_growth_fw_nyse,ln_growth_fm_nyse
2016-07-06,,,,,,,,,,,,,,,-0.013219786133899625,0.008891027475524553,0.05565783670951531,-0.0015061772124589368,0.0013729311907642783,0.011407469715089227,-0.01354933188475993,0.03311003086676573,0.05203832354443209,0.00039201122891974194,0.00279613401054559,0.023202788466153753,-0.0024679096709574466,0.02054317491556699,0.02398459458044251,0.00019385292439366708,0.002067832127739814,0.013907389373564406,2.0479213599600143e-05,5.644408019497621e-05,1.799291219664495e-05,-0.015285672575696019,0.008559363514734403,0.061934912156458466,0.0030732186297210973,0.034371958575662956,0.02245202437253508
2016-07-07,,,,,,,,,,,,,,,0.01227188132734991,0.021604626033435506,0.048765758636705084,-0.002483196891878592,0.004018225510902769,0.015355793492432568,0.00875706699849843,0.030841517327638762,0.05080300629476404,0.00162829559648614,0.0027709729918657744,0.023610065335076102,0.0017784438627668209,0.014125560735496572,0.024505818699471542,-0.000727142314392637,0.00303885286631115,0.01388789451291035,3.07180340479718e-05,5.64488705753093e-05,8.191564288791573e-06,0.013862707787236417,0.02264999024381633,0.05528755306987162,-0.0026477380006788565,0.01925560311234388,0.022269343027034906
2016-07-08,,,,,,,,,,,,,,,-0.0022416803521991824,0.02123429781295756,0.04230096672745457,0.0019485461664539017,0.004028152090312901,0.014029765591145476,0.0020275343618383346,0.027316123841366946,0.04369729462328342,0.004325786233479789,0.0017040178812309456,0.021087557260154863,0.010014681051599084,0.019991500115493974,0.015744105771014656,0.0013956465852595912,0.0035032079061304883,0.01399783595546874,2.0478165157378214e-05,5.644794320918417e-05,8.206747451555074e-06,-0.0047266199716240465,0.021940287439049487,0.04892523158663822,0.015040012840465522,0.020916168602712712,0.02038784884600458
2016-07-11,,,,,,,,,,,,,,,0.019465811937839916,0.024782493736108625,0.04754573640698342,0.0013681354877803642,0.00587031159425447,0.011292977484354186,0.019453118585048834,0.033534743388725925,0.01105823766204023,0.004623576158114595,0.005613778229608515,0.017478827577866046,0.007471584066735204,0.021697851751980454,0.018186972144443585,-0.0022689158696591605,0.0027813490386260635,0.01708391931988365,8.190846733313606e-05,5.64328780468311e-05,4.3097375558528663e-05,0.023183665284443933,0.027511078641529203,0.057592925623815704,0.005228565360734905,0.021566559982931954,0.020850009514140035
2016-07-12,,,,,,,,,,,,,,,0.005422866743207244,0.022567848364094915,0.05429854148416052,-5.3407676832151196e-05,0.005349140206880764,0.008674845741194,0.007996062154448147,0.02745354180733818,0.01299931613583385,-0.0008780617861967599,0.00697524872032107,0.016305394628496013,0.007769584526489126,0.014295930288070951,0.030712702973188486,-0.0035591725065398094,0.004865922327019476,0.020396402658167896,2.0476068595343122e-05,5.348447675859968e-05,1.4954218810650855e-05,0.0051145745112739505,0.025660505426896046,0.0625442729162815,0.009327598454474284,0.012585767848333589,0.030826420259172253
2016-07-13,,,,,,,,,,,,,,,-0.0030435142525586656,0.013095434592631532,0.05894332545926283,-0.0006197375930288018,0.00453674399224217,0.0061278251062920055,0.0025387818173436827,0.013563517801552597,0.022100651582212194,0.0014902067612379,0.005943741077674793,0.011448207012969093,0.0019927243711217457,0.01011779859749772,0.0381989572461365,0.002276996517382557,0.005123411170271792,0.019216941257521585,3.071331678494715e-05,4.4865014996308494e-05,1.4973596093334895e-05,-0.005848187185238274,0.016966358769727543,0.06632380569570841,0.000690555309374119,0.014755922209028027,0.036904608321390406
2016-07-14,,,,,,,,,,,,,,,0.004111704800902949,0.019825951339322516,0.059239971874322436,-0.0014975026598058605,0.003920580535949702,0.007058554198506376,0.010114188101514543,0.012374764562072023,0.025900740420430522,0.0001835704456736309,0.006022702074117145,0.012454833735056329,0.004687145058483999,0.008427992066904153,0.039872905446050017,-0.002988403915812121,0.0028626407925887247,0.023510016157517338,3.071237350571465e-05,4.4869594241064464e-05,5.7835793519644e-06,0.0006820481194278472,0.028032140119991802,0.06117936822107274,0.0048724982939205574,0.011421931680689518,0.04245287235109022
2016-07-15,,,,,,,,,,,,,,,0.006346948175785627,0.022812558209078213,0.08418948887620077,-0.00012846177744574305,0.0030813092867145943,0.007277147608210579,0.0023346090359979144,0.012443928155362103,0.03485304140206087,-0.0008161267081572277,0.002836013692534944,0.013706618078919382,-0.00141631046534485,0.008210111468838986,0.04049692319596117,-0.0038092679532724105,0.005183732959599091,0.028213609224995325,2.0474391655866953e-05,4.48684281933568e-05,1.5664992980673257e-05,0.008029146494159534,0.03211251543676056,0.09083216203955422,-0.0012532614495341932,0.008259712022649768,0.04191530829121296
2016-07-18,,,,,,,,,,,,,,,0.01310428382141371,0.016671461108732213,0.0847217348894757,0.0014014819486156682,0.003114050876625558,0.007345866360422301,0.0023864716803689845,0.00474990632803623,0.03183283025679305,-0.0010415284860130214,0.003004069735973535,0.015734681963435873,0.0017672452573389563,0.007345757958649649,0.04030457157558256,0.0004598353479163819,0.0035565410015338805,0.02543190504793906,8.189337487163328e-05,4.4853335731871346e-05,4.593462108631058e-05,0.016186263017121227,0.025305996407433223,0.09451602157843593,0.0018593838603297996,0.007606314864242997,0.041888558243164245
2016-07-19,,,,,,,,,,,,,,,0.0029727436614894742,0.016840273821739474,0.0757282100059371,-0.00014968299308382171,0.003068723375223373,0.00804268473158656,-0.0016974817123660557,0.011280607290155786,0.031399684267533534,-0.00021456706069233888,0.003026970888182982,0.019396464275042682,-0.002754182598867949,0.005693802153700418,0.048225482685237096,0.0008994916523556995,0.007574445971141273,0.02419403509370641,2.0472295866547086e-05,4.4852169866138635e-05,2.0521055778895685e-05,0.0024297683566780748,0.025314555863094595,0.08153962040524594,-0.0032136688739718977,0.0059040213556511515,0.04370344038888497
