date,NYSE
2016-10-18,10567.81
2016-10-17,10492.86
2016-10-14,10521.3
2016-10-13,10522.94
2016-10-12,10560.27
2016-10-11,10548.0
2016-10-10,10682.67
2016-10-07,10626.92
2016-10-06,10675.74
2016-10-05,10683.94
2016-10-04,10629.15
2016-10-03,10690.77
2016-09-30,10721.74
2016-09-29,10643.52
2016-09-28,10753.45
2016-09-27,10665.34
2016-09-26,10624.88
2016-09-23,10717.99
2016-09-22,10793.66
2016-09-21,10708.37
2016-09-20,10560.26
2016-09-19,10564.3
2016-09-16,10532.27
2016-09-15,10602.94
2016-09-14,10511.4
2016-09-13,10535.36
2016-09-12,10741.24
2016-09-09,10613.53
2016-09-08,10882.33
2016-09-07,10890.18
2016-09-06,10890.79
2016-09-02,10856.92
2016-09-01,10771.93
2016-08-31,10764.75
2016-08-30,10797.54
2016-08-29,10811.35
2016-08-26,10749.33
2016-08-25,10784.37
2016-08-24,10791.18
2016-08-23,10847.49
2016-08-22,10815.92
2016-08-19,10829.15
2016-08-18,10863.01
2016-08-17,10824.64
2016-08-16,10809.74
2016-08-15,10858.5
2016-08-12,10822.41
2016-08-11,10836.15
2016-08-10,10774.98
2016-08-09,10804.51
2016-08-08,10788.01
2016-08-05,10782.87
2016-08-04,10707.13
2016-08-03,10695.14
2016-08-02,10661.13
2016-08-01,10730.2
2016-07-29,10785.51
2016-07-28,10744.16
2016-07-27,10739.77
2016-07-26,10772.99
2016-07-25,10752.43
2016-07-22,10805.04
2016-07-21,10758.62
2016-07-20,10793.1
2016-07-19,10758.54
2016-07-18,10793.17
2016-07-15,10773.12
2016-07-14,10786.63
2016-07-13,10734.2
2016-07-12,10726.79
2016-07-11,10627.2
2016-07-08,10571.78
2016-07-07,10413.97
2016-07-06,10441.58
2016-07-05,10409.54
2016-07-01,10515.76
2016-06-30,10489.76
2016-06-29,10350.53
2016-06-28,10161.16
2016-06-27,9973.54
2016-06-24,10183.51
2016-06-23,10641.17
2016-06-22,10473.06
2016-06-21,10490.78
2016-06-20,10450.03
2016-06-17,10347.94
2016-06-16,10322.84
2016-06-15,10297.16
2016-06-14,10294.59
2016-06-13,10349.18
2016-06-10,10446.1
2016-06-09,10589.82
2016-06-08,10638.36
2016-06-07,10599.22
2016-06-06,10554.82
2016-06-03,10487.94
2016-06-02,10487.58
2016-06-01,10454.93
2016-05-31,10441.0
2016-05-27,10469.52
2016-05-26,10439.61
2016-05-25,10446.59
2016-05-24,10353.56
2016-05-23,10226.56
2016-05-20,10250.49
2016-05-19,10192.48
2016-05-18,10239.65
2016-05-17,10257.61
2016-05-16,10332.47
2016-05-13,10228.06
2016-05-12,10334.38
2016-05-11,10332.24
2016-05-10,10424.11
2016-05-09,10291.59
2016-05-06,10308.83
2016-05-05,10281.32
2016-05-04,10286.24
2016-05-03,10365.83
2016-05-02,10496.33
2016-04-29,10436.92
2016-04-28,10480.45
2016-04-27,10571.83
2016-04-26,10522.58
2016-04-25,10465.65
2016-04-22,10511.0
2016-04-21,10454.82
2016-04-20,10527.79
2016-04-19,10517.3
2016-04-18,10424.93
2016-04-15,10355.57
2016-04-14,10360.24
2016-04-13,10359.51
2016-04-12,10238.69
2016-04-11,10114.58
2016-04-08,10119.69
2016-04-07,10045.15
2016-04-06,10159.85
2016-04-05,10061.08
2016-04-04,10183.0
2016-04-01,10219.96
2016-03-31,10207.37
2016-03-30,10236.95
2016-03-29,10190.41
2016-03-28,10106.44
2016-03-24,10086.6
2016-03-23,10099.68
2016-03-22,10194.2
2016-03-21,10219.69
2016-03-18,10223.43
2016-03-17,10190.4
2016-03-16,10084.17
2016-03-15,10013.6
2016-03-14,10074.27
2016-03-11,10104.19
2016-03-10,9918.07
2016-03-09,9924.81
2016-03-08,9868.52
2016-03-07,10006.19
2016-03-04,9968.41
2016-03-03,9907.97
2016-03-02,9837.59
2016-03-01,9771.0
2016-02-29,9559.53
2016-02-26,9619.79
2016-02-25,9625.27
2016-02-24,9506.07
2016-02-23,9494.32
2016-02-22,9616.32
2016-02-19,9485.96
2016-02-18,9504.98
2016-02-17,9532.28
2016-02-16,9375.39
2016-02-12,9229.68
2016-02-11,9029.88
2016-02-10,9176.72
2016-02-09,9187.79
2016-02-08,9231.33
2016-02-05,9390.33
2016-02-04,9534.3
2016-02-03,9495.21
2016-02-02,9413.78
2016-02-01,9616.69
2016-01-29,9632.7
2016-01-28,9397.79
2016-01-27,9373.78
2016-01-26,9429.11
2016-01-25,9262.99
2016-01-22,9426.91
2016-01-21,9226.57
2016-01-20,9156.84
2016-01-19,9301.74
2016-01-15,9299.62
2016-01-14,9516.55
2016-01-13,9374.23
2016-01-12,9576.52
2016-01-11,9527.66
2016-01-08,9528.77
2016-01-07,9650.42
2016-01-06,9868.26
2016-01-05,10028.06
2016-01-04,10001.56
2015-12-31,10143.42
2015-12-30,10225.83
2015-12-29,10306.6
2015-12-28,10217.4
2015-12-24,10258.55
2015-12-23,10276.28
2015-12-22,10112.4
2015-12-21,10023.03
2015-12-18,9967.64
2015-12-17,10112.63
2015-12-16,10267.83
2015-12-15,10110.94
2015-12-14,9986.76
2015-12-11,9976.65
2015-12-10,10172.04
2015-12-09,10162.37
2015-12-08,10198.37
2015-12-07,10304.53
2015-12-04,10408.86
2015-12-03,10257.38
2015-12-02,10389.2
2015-12-01,10519.59
2015-11-30,10409.58
2015-11-27,10450.53
2015-11-25,10450.36
2015-11-24,10449.72
2015-11-23,10421.41
2015-11-20,10444.2
2015-11-19,10431.46
2015-11-18,10429.6
2015-11-17,10285.76
2015-11-16,10299.4
2015-11-13,10155.07
2015-11-12,10235.95
2015-11-11,10399.9
